instruction,immediates,opcode,input,output
i64.trunc_f64_s,,B0,f64,i64
i64.trunc_f64_u,,B1,f64,i64
f32.convert_i32_s,,B2,i32,f32
f32.convert_i32_u,,B3,i32,f32
f32.convert_i64_s,,B4,i64,f32
f32.convert_i64_u,,B5,i64,f32
f32.demote_f64,,B6,f64,f32
f64.convert_i32_s,,B7,i32,f64
f64.convert_i32_u,,B8,i32,f64
f64.convert_i64_s,,B9,i64,f64
f64.convert_i64_u,,BA,i64,f64
f64.promote_f32,,BB,f32,f64
i32.reinterpret_f32,,BC,f32,i32
i64.reinterpret_f64,,BD,f64,i64
f32.reinterpret_i32,,BE,i32,f32
f64.reinterpret_i64,,BF,i64,f64
i32.extend8_s,,C0,i32,i32
i32.extend16_s,,C1,i32,i32
i64.extend8_s,,C2,i64,i64
i64.extend16_s,,C3,i64,i64
i64.extend32_s,,C4,i64,i64
refnull,t,D0,,t
refisnull,,D1,t,i32
reffunc,x,D2,,funcref
i32.trunc_sat_f32_s,,FC 00,f32,i32
i32.trunc_sat_f32_u,,FC 01,f32,i32
i32.trunc_sat_f64_s,,FC 02,f64,i32
i32.trunc_sat_f64_u,,FC 03,f64,i32
i64.trunc_sat_f32_s,,FC 04,f32,i64
i64.trunc_sat_f32_u,,FC 05,f32,i64
i64.trunc_sat_f64_s,,FC 06,f64,i64
i64.trunc_sat_f64_u,,FC 07,f64,i64
memoryinit,x,FC 08,i32 i32 i32,
datadrop,x,FC 09,,
memorycopy,,FC 0A,i32 i32 i32,
memoryfill,,FC 0B,i32 i32 i32,
tableinit,x y,FC 0C,i32 i32 i32,
elemdrop,x,FC 0D,,
tablecopy,x y,FC 0E,i32 i32 i32,
tablegrow,x,FC 0F,t i32,i32
tablesize,x,FC 10,,i32
tablefill,x,FC 11,i32 t i32,
v128.load,memarg,FD 00,i32,v128
v128.load8x8_s,memarg,FD 01,i32,v128
v128.load8x8_u,memarg,FD 02,i32,v128
v128.load16x4_s,memarg,FD 03,i32,v128
v128.load16x4_u,memarg,FD 04,i32,v128
v128.load32x2_s,memarg,FD 05,i32,v128
v128.load32x2_u,memarg,FD 06,i32,v128
v128.load8_splat,memarg,FD 07,i32,v128
v128.load16_splat,memarg,FD 08,i32,v128
v128.load32_splat,memarg,FD 09,i32,v128
v128.load64_splat,memarg,FD 0A,i32,v128
v128.store,memarg,FD 0B,i32 v128,
v128.vconst,i128,FD 0C,,v128
i8x16.shuffle,laneidx{16},FD 0D,v128 v128,v128
i8x16.swizzle,,FD 0E,v128 v128,v128
i8x16.splat,,FD 0F,i32,v128
i16x8.splat,,FD 10,i32,v128
i32x4.splat,,FD 11,i32,v128
i64x2.splat,,FD 12,i64,v128
f32x4.splat,,FD 13,f32,v128
f64x2.splat,,FD 14,f64,v128
i8x16.extractlane_s,laneidx,FD 15,v128,i32
i8x16.extractlane_u,laneidx,FD 16,v128,i32
i8x16.replacelane,laneidx,FD 17,v128 i32,v128
i16x8.extractlane_s,laneidx,FD 18,v128,i32
i16x8.extractlane_u,laneidx,FD 19,v128,i32
i16x8.replacelane,laneidx,FD 1A,v128 i32,v128
i32x4.extractlane,laneidx,FD 1B,v128,i32
i32x4.replacelane,laneidx,FD 1C,v128 i32,v128
i64x2.extractlane,laneidx,FD 1D,v128,i64
i64x2.replacelane,laneidx,FD 1E,v128 i64,v128
f32x4.extractlane,laneidx,FD 1F,v128,f32
f32x4.replacelane,laneidx,FD 20,v128 f32,v128
f64x2.extractlane,laneidx,FD 21,v128,f64
f64x2.replacelane,laneidx,FD 22,v128 f64,v128
i8x16.veq,,FD 23,v128 v128,v128
i8x16.vne,,FD 24,v128 v128,v128
i8x16.vlt_s,,FD 25,v128 v128,v128
i8x16.vlt_u,,FD 26,v128 v128,v128
i8x16.vgt_s,,FD 27,v128 v128,v128
i8x16.vgt_u,,FD 28,v128 v128,v128
i8x16.vle_s,,FD 29,v128 v128,v128
i8x16.vle_u,,FD 2A,v128 v128,v128
i8x16.vge_s,,FD 2B,v128 v128,v128
i8x16.vge_u,,FD 2C,v128 v128,v128
i16x8.veq,,FD 2D,v128 v128,v128
i16x8.vne,,FD 2E,v128 v128,v128
i16x8.vlt_s,,FD 2F,v128 v128,v128
i16x8.vlt_u,,FD 30,v128 v128,v128
i16x8.vgt_s,,FD 31,v128 v128,v128
i16x8.vgt_u,,FD 32,v128 v128,v128
i16x8.vle_s,,FD 33,v128 v128,v128
i16x8.vle_u,,FD 34,v128 v128,v128
i16x8.vge_s,,FD 35,v128 v128,v128
i16x8.vge_u,,FD 36,v128 v128,v128
i32x4.veq,,FD 37,v128 v128,v128
i32x4.vne,,FD 38,v128 v128,v128
i32x4.vlt_s,,FD 39,v128 v128,v128
i32x4.vlt_u,,FD 3A,v128 v128,v128
i32x4.vgt_s,,FD 3B,v128 v128,v128
i32x4.vgt_u,,FD 3C,v128 v128,v128
i32x4.vle_s,,FD 3D,v128 v128,v128
i32x4.vle_u,,FD 3E,v128 v128,v128
i32x4.vge_s,,FD 3F,v128 v128,v128
i32x4.vge_u,,FD 40,v128 v128,v128
f32x4.veq,,FD 41,v128 v128,v128
f32x4.vne,,FD 42,v128 v128,v128
f32x4.vlt,,FD 43,v128 v128,v128
f32x4.vgt,,FD 44,v128 v128,v128
f32x4.vle,,FD 45,v128 v128,v128
f32x4.vge,,FD 46,v128 v128,v128
f64x2.veq,,FD 47,v128 v128,v128
f64x2.vne,,FD 48,v128 v128,v128
f64x2.vlt,,FD 49,v128 v128,v128
f64x2.vgt,,FD 4A,v128 v128,v128
f64x2.vle,,FD 4B,v128 v128,v128
f64x2.vge,,FD 4C,v128 v128,v128
v128.vnot,,FD 4D,v128,v128
v128.vand,,FD 4E,v128 v128,v128
v128.vandnot,,FD 4F,v128 v128,v128
v128.vor,,FD 50,v128 v128,v128
v128.vxor,,FD 51,v128 v128,v128
v128.bitselect,,FD 52,v128 v128 v128,v128
v128.anytrue,,FD 53,v128,i32
v128.load8_lane,memarg laneidx,FD 54,i32 v128,v128
v128.load16_lane,memarg laneidx,FD 55,i32 v128,v128
v128.load32_lane,memarg laneidx,FD 56,i32 v128,v128
v128.load64_lane,memarg laneidx,FD 57,i32 v128,v128
v128.store8_lane,memarg laneidx,FD 58,i32 v128,
v128.store16_lane,memarg laneidx,FD 59,i32 v128,
v128.store32_lane,memarg laneidx,FD 5A,i32 v128,
v128.store64_lane,memarg laneidx,FD 5B,i32 v128,
v128.load32_zero,memarg,FD 5C,i32,v128
v128.load64_zero,memarg,FD 5D,i32,v128
f32x4.vdemote_f64x2_zero,,FD 5E,v128,v128
f64x2.vpromote_low_f32x4,,FD 5F,v128,v128
i8x16.vabs,,FD 60,v128,v128
i8x16.vneg,,FD 61,v128,v128
i8x16.vpopcnt,,FD 62,v128,v128
i8x16.alltrue,,FD 63,v128,i32
i8x16.bitmask,,FD 64,v128,i32
i8x16.narrow_i16x8_s,,FD 65,v128 v128,v128
i8x16.narrow_i16x8_u,,FD 66,v128 v128,v128
f32x4.vceil,,FD 67,v128,v128
f32x4.vfloor,,FD 68,v128,v128
f32x4.vtrunc,,FD 69,v128,v128
f32x4.vnearest,,FD 6A,v128,v128
i8x16.vshl,,FD 6B,v128 i32,v128
i8x16.vshr_s,,FD 6C,v128 i32,v128
i8x16.vshr_u,,FD 6D,v128 i32,v128
i8x16.vadd,,FD 6E,v128 v128,v128
i8x16.vadd_sat_s,,FD 6F,v128 v128,v128
i8x16.vadd_sat_u,,FD 70,v128 v128,v128
i8x16.vsub,,FD 71,v128 v128,v128
i8x16.vsub_sat_s,,FD 72,v128 v128,v128
i8x16.vsub_sat_u,,FD 73,v128 v128,v128
f64x2.vceil,,FD 74,v128,v128
f64x2.vfloor,,FD 75,v128,v128
i8x16.vmin_s,,FD 76,v128 v128,v128
i8x16.vmin_u,,FD 77,v128 v128,v128
i8x16.vmax_s,,FD 78,v128 v128,v128
i8x16.vmax_u,,FD 79,v128 v128,v128
f64x2.vtrunc,,FD 7A,v128,v128
i8x16.avgr_u,,FD 7B,v128 v128,v128
i16x8.extaddpairwise_i8x16_s,,FD 7C,v128,v128
i16x8.extaddpairwise_i8x16_u,,FD 7D,v128,v128
i32x4.extaddpairwise_i16x8_s,,FD 7E,v128,v128
i32x4.extaddpairwise_i16x8_u,,FD 7F,v128,v128
i16x8.vabs,,FD 80 01,v128,v128
i16x8.vneg,,FD 81 01,v128,v128
i16x8.q15mulrsat_s,,FD 82 01,v128 v128,v128
i16x8.alltrue,,FD 83 01,v128,i32
i16x8.bitmask,,FD 84 01,v128,i32
i16x8.narrow_i32x4_s,,FD 85 01,v128 v128,v128
i16x8.narrow_i32x4_u,,FD 86 01,v128 v128,v128
i16x8.vextend_low_i8x16_s,,FD 87 01,v128,v128
i16x8.vextend_high_i8x16_s,,FD 88 01,v128,v128
i16x8.vextend_low_i8x16_u,,FD 89 01,v128,v128
i16x8.vextend_high_i8x16_u,,FD 8A 01,v128,v128
i16x8.vshl,,FD 8B 01,v128 i32,v128
i16x8.vshr_s,,FD 8C 01,v128 i32,v128
i16x8.vshr_u,,FD 8D 01,v128 i32,v128
i16x8.vadd,,FD 8E 01,v128 v128,v128
i16x8.vadd_sat_s,,FD 8F 01,v128 v128,v128
i16x8.vadd_sat_u,,FD 90 01,v128 v128,v128
i16x8.vsub,,FD 91 01,v128 v128,v128
i16x8.vsub_sat_s,,FD 92 01,v128 v128,v128
i16x8.vsub_sat_u,,FD 93 01,v128 v128,v128
f64x2.vnearest,,FD 94 01,v128,v128
i16x8.vmul,,FD 95 01,v128 v128,v128
i16x8.vmin_s,,FD 96 01,v128 v128,v128
i16x8.vmin_u,,FD 97 01,v128 v128,v128
i16x8.vmax_s,,FD 98 01,v128 v128,v128
i16x8.vmax_u,,FD 99 01,v128 v128,v128
i16x8.avgr_u,,FD 9B 01,v128 v128,v128
i16x8.extmul_low_i8x16_s,,FD 9C 01,v128 v128,v128
i16x8.extmul_high_i8x16_s,,FD 9D 01,v128 v128,v128
i16x8.extmul_low_i8x16_u,,FD 9E 01,v128 v128,v128
i16x8.extmul_high_i8x16_u,,FD 9F 01,v128 v128,v128
i32x4.vabs,,FD A0 01,v128,v128
i32x4.vneg,,FD A1 01,v128,v128
i32x4.alltrue,,FD A3 01,v128,i32
i32x4.bitmask,,FD A4 01,v128,i32
i32x4.vextend_low_i16x8_s,,FD A7 01,v128,v128
i32x4.vextend_high_i16x8_s,,FD A8 01,v128,v128
i32x4.vextend_low_i16x8_u,,FD A9 01,v128,v128
i32x4.vextend_high_i16x8_u,,FD AA 01,v128,v128
i32x4.vshl,,FD AB 01,v128 i32,v128
i32x4.vshr_s,,FD AC 01,v128 i32,v128
i32x4.vshr_u,,FD AD 01,v128 i32,v128
i32x4.vadd,,FD AE 01,v128 v128,v128
i32x4.vsub,,FD B1 01,v128 v128,v128
i32x4.vmul,,FD B5 01,v128 v128,v128
i32x4.vmin_s,,FD B6 01,v128 v128,v128
i32x4.vmin_u,,FD B7 01,v128 v128,v128
i32x4.vmax_s,,FD B8 01,v128 v128,v128
i32x4.vmax_u,,FD B9 01,v128 v128,v128
i32x4.dot_i16x8_s,,FD BA 01,v128 v128,v128
i32x4.extmul_low_i16x8_s,,FD BC 01,v128 v128,v128
i32x4.extmul_high_i16x8_s,,FD BD 01,v128 v128,v128
i32x4.extmul_low_i16x8_u,,FD BE 01,v128 v128,v128
i32x4.extmul_high_i16x8_u,,FD BF 01,v128 v128,v128
i64x2.vabs,,FD C0 01,v128,v128
i64x2.vneg,,FD C1 01,v128,v128
i64x2.alltrue,,FD C3 01,v128,i32
i64x2.bitmask,,FD C4 01,v128,i32
i64x2.vextend_low_i32x4_s,,FD C7 01,v128,v128
i64x2.vextend_high_i32x4_s,,FD C8 01,v128,v128
i64x2.vextend_low_i32x4_u,,FD C9 01,v128,v128
i64x2.vextend_high_i32x4_u,,FD CA 01,v128,v128
i64x2.vshl,,FD CB 01,v128 i32,v128
i64x2.vshr_s,,FD CC 01,v128 i32,v128
i64x2.vshr_u,,FD CD 01,v128 i32,v128
i64x2.vadd,,FD CE 01,v128 v128,v128
i64x2.vsub,,FD D1 01,v128 v128,v128
i64x2.vmul,,FD D5 01,v128 v128,v128
i64x2.veq,,FD D6 01,v128 v128,v128
i64x2.vne,,FD D7 01,v128 v128,v128
i64x2.vlt_s,,FD D8 01,v128 v128,v128
i64x2.vgt_s,,FD D9 01,v128 v128,v128
i64x2.vle_s,,FD DA 01,v128 v128,v128
i64x2.vge_s,,FD DB 01,v128 v128,v128
i64x2.extmul_low_i32x4_s,,FD DC 01,v128 v128,v128
i64x2.extmul_high_i32x4_s,,FD DD 01,v128 v128,v128
i64x2.extmul_low_i32x4_u,,FD DE 01,v128 v128,v128
i64x2.extmul_high_i32x4_u,,FD DF 01,v128 v128,v128
f32x4.vabs,,FD E0 01,v128,v128
f32x4.vneg,,FD E1 01,v128,v128
f32x4.vsqrt,,FD E3 01,v128,v128
f32x4.vadd,,FD E4 01,v128 v128,v128
f32x4.vsub,,FD E5 01,v128 v128,v128
f32x4.vmul,,FD E6 01,v128 v128,v128
f32x4.vdiv,,FD E7 01,v128 v128,v128
f32x4.vmin,,FD E8 01,v128 v128,v128
f32x4.vmax,,FD E9 01,v128 v128,v128
f32x4.vpmin,,FD EA 01,v128 v128,v128
f32x4.vpmax,,FD EB 01,v128 v128,v128
f64x2.vabs,,FD EC 01,v128,v128
f64x2.vneg,,FD ED 01,v128,v128
f64x2.vsqrt,,FD EF 01,v128,v128
f64x2.vadd,,FD F0 01,v128 v128,v128
f64x2.vsub,,FD F1 01,v128 v128,v128
f64x2.vmul,,FD F2 01,v128 v128,v128
f64x2.vdiv,,FD F3 01,v128 v128,v128
f64x2.vmin,,FD F4 01,v128 v128,v128
f64x2.vmax,,FD F5 01,v128 v128,v128
f64x2.vpmin,,FD F6 01,v128 v128,v128
f64x2.vpmax,,FD F7 01,v128 v128,v128
i32x4.trunc_sat_f32x4_s,,FD F8 01,v128,v128
i32x4.trunc_sat_f32x4_u,,FD F9 01,v128,v128
f32x4.vconvert_i32x4_s,,FD FA 01,v128,v128
f32x4.vconvert_i32x4_u,,FD FB 01,v128,v128
i32x4.vtrunc_sat_f64x2_s_zero,,FD FC 01,v128,v128
i32x4.vtrunc_sat_f64x2_u_zero,,FD FD 01,v128,v128
f64x2.vconvert_low_i32x4_s,,FD FE 01,v128,v128
f64x2.vconvert_low_i32x4_u,,FD FF 01,v128,v128
