instruction,immediates,opcode,input,output
v128.vandnot,,FD 4F,"v128,v128",v128
v128.vor,,FD 50,"v128,v128",v128
v128.vxor,,FD 51,"v128,v128",v128
v128.bitselect,,FD 52,"v128,v128,v128",v128
v128.anytrue,,FD 53,v128,i32
v128.load8,lane_memarg_laneidx,FD 54,"i32,v128",v128
v128.load16,lane_memarg_laneidx,FD 55,"i32,v128",v128
v128.load32,lane_memarg_laneidx,FD 56,"i32,v128",v128
v128.load64,lane_memarg_laneidx,FD 57,"i32,v128",v128
v128.store8,lane_memarg_laneidx,FD 58,"i32,v128",
v128.store16,lane_memarg_laneidx,FD 59,"i32,v128",
v128.store32,lane_memarg_laneidx,FD 5A,"i32,v128",
v128.store64,lane_memarg_laneidx,FD 5B,"i32,v128",
v128.load32,zero_memarg,FD 5C,i32,v128
v128.load64,zero_memarg,FD 5D,i32,v128
f32x4.vdemote,f64x2_zero,FD 5E,v128,v128
f64x2.vpromote,low.f32x4,FD 5F,v128,v128
i8x16.vabs,,FD 60,v128,v128
i8x16.vneg,,FD 61,v128,v128
i8x16.vpopcnt,,FD 62,v128,v128
i8x16.alltrue,,FD 63,v128,i32
i8x16.bitmask,,FD 64,v128,i32
i8x16.narrow,i16x8_s,FD 65,"v128,v128",v128
i8x16.narrow,i16x8_u,FD 66,"v128,v128",v128
f32x4.vceil,,FD 67,v128,v128
f32x4.vfloor,,FD 68,v128,v128
f32x4.vtrunc,,FD 69,v128,v128
f32x4.vnearest,,FD 6A,v128,v128
i8x16.vshl,,FD 6B,"v128,i32",v128
i8x16.vshr,s,FD 6C,"v128,i32",v128
i8x16.vshr,u,FD 6D,"v128,i32",v128
i8x16.vadd,,FD 6E,"v128,v128",v128
i8x16.vadd,sat.s,FD 6F,"v128,v128",v128
i8x16.vadd,sat.u,FD 70,"v128,v128",v128
i8x16.vsub,,FD 71,"v128,v128",v128
i8x16.vsub,sat.s,FD 72,"v128,v128",v128
i8x16.vsub,sat.u,FD 73,"v128,v128",v128
f64x2.vceil,,FD 74,v128,v128
f64x2.vfloor,,FD 75,v128,v128
i8x16.vmin,s,FD 76,"v128,v128",v128
i8x16.vmin,u,FD 77,"v128,v128",v128
i8x16.vmax,s,FD 78,"v128,v128",v128
i8x16.vmax,u,FD 79,"v128,v128",v128
f64x2.vtrunc,,FD 7A,v128,v128
i8x16.avgr,u,FD 7B,"v128,v128",v128
i16x8.extaddpairwise,i8x16_s,FD 7C,v128,v128
i16x8.extaddpairwise,i8x16_u,FD 7D,v128,v128
i32x4.extaddpairwise,i16x8_s,FD 7E,v128,v128
i32x4.extaddpairwise,i16x8_u,FD 7F,v128,v128
i16x8.vabs,,FD 80 01,v128,v128
i16x8.vneg,,FD 81 01,v128,v128
i16x8.q15mulrsat,s,FD 82 01,"v128,v128",v128
i16x8.alltrue,,FD 83 01,v128,i32
i16x8.bitmask,,FD 84 01,v128,i32
i16x8.narrow,i32x4_s,FD 85 01,"v128,v128",v128
i16x8.narrow,i32x4_u,FD 86 01,"v128,v128",v128
i16x8.vextend,low.i8x16.s,FD 87 01,v128,v128
i16x8.vextend,high.i8x16.s,FD 88 01,v128,v128
i16x8.vextend,low.i8x16.u,FD 89 01,v128,v128
i16x8.vextend,high.i8x16.u,FD 8A 01,v128,v128
i16x8.vshl,,FD 8B 01,"v128,i32",v128
i16x8.vshr,s,FD 8C 01,"v128,i32",v128
i16x8.vshr,u,FD 8D 01,"v128,i32",v128
i16x8.vadd,,FD 8E 01,"v128,v128",v128
i16x8.vadd,sat.s,FD 8F 01,"v128,v128",v128
i16x8.vadd,sat.u,FD 90 01,"v128,v128",v128
i16x8.vsub,,FD 91 01,"v128,v128",v128
i16x8.vsub,sat.s,FD 92 01,"v128,v128",v128
i16x8.vsub,sat.u,FD 93 01,"v128,v128",v128
f64x2.vnearest,,FD 94 01,v128,v128
i16x8.vmul,,FD 95 01,"v128,v128",v128
i16x8.vmin,s,FD 96 01,"v128,v128",v128
i16x8.vmin,u,FD 97 01,"v128,v128",v128
i16x8.vmax,s,FD 98 01,"v128,v128",v128
i16x8.vmax,u,FD 99 01,"v128,v128",v128
i16x8.avgr,u,FD 9B 01,"v128,v128",v128
i16x8.extmul,low.i8x16.s,FD 9C 01,"v128,v128",v128
i16x8.extmul,high.i8x16.s,FD 9D 01,"v128,v128",v128
i16x8.extmul,low.i8x16.u,FD 9E 01,"v128,v128",v128
i16x8.extmul,high.i8x16.u,FD 9F 01,"v128,v128",v128
i32x4.vabs,,FD A0 01,v128,v128
i32x4.vneg,,FD A1 01,v128,v128
i32x4.alltrue,,FD A3 01,v128,i32
i32x4.bitmask,,FD A4 01,v128,i32
i32x4.vextend,low.i16x8.s,FD A7 01,v128,v128
i32x4.vextend,high.i16x8.s,FD A8 01,v128,v128
i32x4.vextend,low.i16x8.u,FD A9 01,v128,v128
i32x4.vextend,high.i16x8.u,FD AA 01,v128,v128
i32x4.vshl,,FD AB 01,"v128,i32",v128
i32x4.vshr,s,FD AC 01,"v128,i32",v128
i32x4.vshr,u,FD AD 01,"v128,i32",v128
i32x4.vadd,,FD AE 01,"v128,v128",v128
i32x4.vsub,,FD B1 01,"v128,v128",v128
i32x4.vmul,,FD B5 01,"v128,v128",v128
i32x4.vmin,s,FD B6 01,"v128,v128",v128
i32x4.vmin,u,FD B7 01,"v128,v128",v128
i32x4.vmax,s,FD B8 01,"v128,v128",v128
i32x4.vmax,u,FD B9 01,"v128,v128",v128
i32x4.dot,i16x8_s,FD BA 01,"v128,v128",v128
i32x4.extmul,low.i16x8.s,FD BC 01,"v128,v128",v128
i32x4.extmul,high.i16x8.s,FD BD 01,"v128,v128",v128
i32x4.extmul,low.i16x8.u,FD BE 01,"v128,v128",v128
i32x4.extmul,high.i16x8.u,FD BF 01,"v128,v128",v128
i64x2.vabs,,FD C0 01,v128,v128
i64x2.vneg,,FD C1 01,v128,v128
i64x2.alltrue,,FD C3 01,v128,i32
i64x2.bitmask,,FD C4 01,v128,i32
i64x2.vextend,low.i32x4.s,FD C7 01,v128,v128
i64x2.vextend,high.i32x4.s,FD C8 01,v128,v128
i64x2.vextend,low.i32x4.u,FD C9 01,v128,v128
i64x2.vextend,high.i32x4.u,FD CA 01,v128,v128
i64x2.vshl,,FD CB 01,"v128,i32",v128
i64x2.vshr,s,FD CC 01,"v128,i32",v128
i64x2.vshr,u,FD CD 01,"v128,i32",v128
i64x2.vadd,,FD CE 01,"v128,v128",v128
i64x2.vsub,,FD D1 01,"v128,v128",v128
i64x2.vmul,,FD D5 01,"v128,v128",v128
i64x2.veq,,FD D6 01,"v128,v128",v128
i64x2.vne,,FD D7 01,"v128,v128",v128
i64x2.vlt,s,FD D8 01,"v128,v128",v128
i64x2.vgt,s,FD D9 01,"v128,v128",v128
i64x2.vle,s,FD DA 01,"v128,v128",v128
i64x2.vge,s,FD DB 01,"v128,v128",v128
i64x2.extmul,low.i32x4.s,FD DC 01,"v128,v128",v128
i64x2.extmul,high.i32x4.s,FD DD 01,"v128,v128",v128
i64x2.extmul,low.i32x4.u,FD DE 01,"v128,v128",v128
i64x2.extmul,high.i32x4.u,FD DF 01,"v128,v128",v128
f32x4.vabs,,FD E0 01,v128,v128
f32x4.vneg,,FD E1 01,v128,v128
f32x4.vsqrt,,FD E3 01,v128,v128
f32x4.vadd,,FD E4 01,"v128,v128",v128
f32x4.vsub,,FD E5 01,"v128,v128",v128
f32x4.vmul,,FD E6 01,"v128,v128",v128
f32x4.vdiv,,FD E7 01,"v128,v128",v128
f32x4.vmin,,FD E8 01,"v128,v128",v128
f32x4.vmax,,FD E9 01,"v128,v128",v128
f32x4.vpmin,,FD EA 01,"v128,v128",v128
f32x4.vpmax,,FD EB 01,"v128,v128",v128
f64x2.vabs,,FD EC 01,v128,v128
f64x2.vneg,,FD ED 01,v128,v128
f64x2.vsqrt,,FD EF 01,v128,v128
f64x2.vadd,,FD F0 01,"v128,v128",v128
f64x2.vsub,,FD F1 01,"v128,v128",v128
f64x2.vmul,,FD F2 01,"v128,v128",v128
f64x2.vdiv,,FD F3 01,"v128,v128",v128
f64x2.vmin,,FD F4 01,"v128,v128",v128
f64x2.vmax,,FD F5 01,"v128,v128",v128
f64x2.vpmin,,FD F6 01,"v128,v128",v128
f64x2.vpmax,,FD F7 01,"v128,v128",v128
i32x4.trunc,sat.f32x4.s,FD F8 01,v128,v128
i32x4.trunc,sat.f32x4.u,FD F9 01,v128,v128
f32x4.vconvert,i32x4_s,FD FA 01,v128,v128
f32x4.vconvert,i32x4_u,FD FB 01,v128,v128
i32x4.vtrunc,sat.f64x2.s.zero,FD FC 01,v128,v128
i32x4.vtrunc,sat.f64x2.u.zero,FD FD 01,v128,v128
f64x2.vconvert,low.i32x4.s,FD FE 01,v128,v128
f64x2.vconvert,low.i32x4.u,FD FF 01,v128,v128
